instId,tradeId,Date,Time,Millisec,side,px,sz,lDate,lTime,lMillisec
ETH-USDT,205613383,20220530,153448,644,sell,1902.49,0.404908,20220530,153450,15
ETH-USDT,205613384,20220530,153454,141,sell,1902.65,0.002664,20220530,153454,145
ETH-USDT,205613385,20220530,153454,145,sell,1902.65,0.002629,20220530,153454,149
ETH-USDT,205613386,20220530,153500,394,sell,1902.68,0.04,20220530,153500,400
ETH-USDT,205613387,20220530,153500,394,sell,1902.61,0.001097,20220530,153500,400
ETH-USDT,205613388,20220530,153500,394,sell,1902.5,0.011991,20220530,153500,400
ETH-USDT,205613389,20220530,153504,183,sell,1902.6,0.04,20220530,153504,187
ETH-USDT,205613390,20220530,153504,183,sell,1902.6,0.04,20220530,153504,188
ETH-USDT,205613391,20220530,153504,183,sell,1902.6,0.48,20220530,153504,188
ETH-USDT,205613392,20220530,153504,183,sell,1902.53,0.001098,20220530,153504,188
ETH-USDT,205613393,20220530,153504,192,sell,1902.6,0.04,20220530,153504,196
ETH-USDT,205613394,20220530,153504,192,sell,1902.5,0.033758,20220530,153504,196
ETH-USDT,205613395,20220530,153504,192,sell,1902.49,2.27139,20220530,153504,196
ETH-USDT,205613396,20220530,153504,199,sell,1902.49,0.003829,20220530,153504,204
ETH-USDT,205613397,20220530,153504,201,sell,1902.48,0.039459,20220530,153504,207
ETH-USDT,205613398,20220530,153504,201,sell,1902.48,0.07096,20220530,153504,207
ETH-USDT,205613399,20220530,153504,201,sell,1902.47,0.041,20220530,153504,207
ETH-USDT,205613400,20220530,153504,201,sell,1902.43,0.15,20220530,153504,208
ETH-USDT,205613401,20220530,153504,205,sell,1902.39,0.60764,20220530,153504,211
ETH-USDT,205613402,20220530,153504,208,sell,1902.39,0.04936,20220530,153504,214
ETH-USDT,205613403,20220530,153504,208,sell,1902.37,0.4199,20220530,153504,214
ETH-USDT,205613404,20220530,153504,208,sell,1902.32,0.806773,20220530,153504,214
ETH-USDT,205613405,20220530,153504,208,sell,1902.29,0.037,20220530,153504,214
ETH-USDT,205613406,20220530,153504,214,sell,1902.33,0.041,20220530,153504,218
ETH-USDT,205613407,20220530,153504,214,sell,1902.33,0.21031,20220530,153504,219
ETH-USDT,205613408,20220530,153504,221,sell,1902.33,1.40435,20220530,153504,225
ETH-USDT,205613409,20220530,153504,221,sell,1902.33,0.54018,20220530,153504,226
ETH-USDT,205613410,20220530,153504,221,sell,1902.33,0.10511,20220530,153504,226
ETH-USDT,205613411,20220530,153504,223,sell,1902.28,0.041,20220530,153504,228
ETH-USDT,205613412,20220530,153504,226,sell,1902.34,0.037,20220530,153504,231
ETH-USDT,205613413,20220530,153504,268,sell,1902.14,0.10412,20220530,153504,272
ETH-USDT,205613414,20220530,153504,277,sell,1902.14,9e-06,20220530,153504,282
ETH-USDT,205613415,20220530,153504,277,sell,1902.09,0.041,20220530,153504,283
ETH-USDT,205613416,20220530,153504,277,sell,1902.07,0.05,20220530,153504,283
ETH-USDT,205613417,20220530,153504,277,sell,1902,0.002626,20220530,153504,283
ETH-USDT,205613418,20220530,153504,277,sell,1902,0.005786,20220530,153504,283
ETH-USDT,205613419,20220530,153505,434,sell,1901.9,0.024236,20220530,153505,439
ETH-USDT,205613420,20220530,153506,859,sell,1902.17,0.00493,20220530,153506,863
ETH-USDT,205613421,20220530,153508,270,buy,1902.18,0.258816,20220530,153508,278
ETH-USDT,205613422,20220530,153508,270,buy,1902.18,0.041184,20220530,153508,279
ETH-USDT,205613423,20220530,153508,694,buy,1902.28,0.047308,20220530,153508,700
ETH-USDT,205613424,20220530,153511,607,buy,1902.17,0.00199,20220530,153511,612
ETH-USDT,205613425,20220530,153511,607,buy,1902.28,0.041,20220530,153511,612
ETH-USDT,205613426,20220530,153511,607,buy,1902.47,0.004318,20220530,153511,613
ETH-USDT,205613427,20220530,153512,493,buy,1902.25,0.001098,20220530,153512,499
ETH-USDT,205613428,20220530,153512,493,buy,1902.25,0.015326,20220530,153512,499
ETH-USDT,205613429,20220530,153518,219,buy,1902.26,0.003054,20220530,153518,223
ETH-USDT,205613430,20220530,153520,528,sell,1902.25,0.001999,20220530,153520,531
ETH-USDT,205613431,20220530,153520,528,sell,1902.09,0.027262,20220530,153520,531
ETH-USDT,205613432,20220530,153522,86,buy,1902.1,0.75,20220530,153522,91
